timestamp,demand_mw,source
2026-06-17 15:30:00,27068.0,api
2026-06-17 15:45:00,27068.0,api
2026-06-17 16:00:00,26399.0,api
2026-06-17 16:15:00,25987.0,api
2026-06-17 16:30:00,25175.0,api
2026-06-17 16:45:00,24860.0,api
2026-06-17 17:00:00,24491.0,api
2026-06-17 21:00:00,21539.0,api
2026-06-17 21:15:00,21413.0,api
2026-06-17 21:30:00,21440.0,api
2026-06-17 21:45:00,21615.0,api
2026-06-17 22:00:00,22083.0,api
2026-06-17 22:15:00,22565.0,api
2026-06-17 22:30:00,22892.0,api
2026-06-17 22:45:00,23065.0,api
2026-06-17 23:00:00,23105.0,api
2026-06-17 23:15:00,23148.0,api
2026-06-17 23:30:00,23084.0,api
2026-06-18 00:00:00,22519.0,api
2026-06-18 00:15:00,22309.0,api
2026-06-18 00:30:00,22032.0,api
2026-06-18 00:45:00,22013.0,api
2026-06-18 01:00:00,21777.0,api
2026-06-18 01:15:00,21639.0,api
2026-06-18 01:30:00,21540.0,api
2026-06-18 10:00:00,24654.0,api
2026-06-18 10:15:00,24529.0,api
2026-06-18 10:30:00,24576.0,api
2026-06-18 10:45:00,24402.0,api
2026-06-18 11:00:00,24244.0,api
2026-06-18 11:15:00,24498.0,api
2026-06-18 11:30:00,24465.0,api
2026-06-18 11:45:00,24271.0,api
2026-06-18 12:00:00,23924.0,api
2026-06-18 12:15:00,23770.0,api
2026-06-18 12:30:00,23733.0,api
2026-06-18 12:45:00,23705.0,api
2026-06-18 13:30:00,24404.0,api
2026-06-18 13:45:00,24660.0,api
2026-06-18 14:00:00,25275.0,api
2026-06-18 14:15:00,25879.0,api
2026-06-18 14:30:00,26193.0,db
