timestamp,demand_mw,source
2026-06-16 15:45:00,23974.0,api
2026-06-16 16:00:00,23111.0,api
2026-06-16 16:15:00,22930.0,api
2026-06-16 16:30:00,22883.0,api
2026-06-16 16:45:00,22647.0,api
2026-06-16 17:00:00,22265.0,api
2026-06-16 17:15:00,22476.0,api
2026-06-17 15:30:00,25350.0,api
2026-06-17 15:45:00,25224.0,api
2026-06-17 16:00:00,24145.0,api
2026-06-17 16:15:00,23766.0,api
2026-06-17 16:30:00,23426.0,api
2026-06-17 16:45:00,23319.0,api
2026-06-17 17:00:00,23105.0,api
2026-06-17 21:00:00,29600.0,api
2026-06-17 21:15:00,29620.0,api
2026-06-17 21:30:00,29445.0,api
2026-06-17 21:45:00,29579.0,api
2026-06-17 22:00:00,29714.0,api
2026-06-17 22:15:00,29515.0,api
2026-06-17 22:30:00,29252.0,api
2026-06-17 22:45:00,29306.0,api
2026-06-17 23:00:00,29584.0,api
2026-06-17 23:15:00,28880.0,api
2026-06-17 23:30:00,28928.0,api
2026-06-18 00:00:00,29986.0,api
2026-06-18 00:15:00,29480.0,api
2026-06-18 00:30:00,29986.0,api
2026-06-18 00:45:00,29970.0,api
2026-06-18 01:00:00,30042.0,api
2026-06-18 01:15:00,29894.0,api
2026-06-18 01:30:00,29933.0,api
2026-06-18 10:00:00,26760.0,api
2026-06-18 10:15:00,27069.0,api
2026-06-18 10:30:00,27099.0,api
2026-06-18 10:45:00,27264.0,api
2026-06-18 11:00:00,27067.0,api
2026-06-18 11:15:00,27468.0,api
2026-06-18 11:30:00,27420.0,api
2026-06-18 11:45:00,27482.0,api
2026-06-18 12:00:00,27667.0,api
2026-06-18 12:15:00,27724.0,api
2026-06-18 12:30:00,28258.0,api
2026-06-18 12:45:00,28232.0,api
2026-06-18 13:30:00,28220.0,api
2026-06-18 13:45:00,28583.0,api
2026-06-18 14:00:00,28455.0,api
2026-06-18 14:15:00,28551.0,api
2026-06-18 14:30:00,28683.0,api
2026-06-22 09:45:00,27103.0,api
2026-06-22 10:00:00,27368.0,api
2026-06-22 10:15:00,27678.0,api
2026-06-22 10:30:00,27958.0,api
2026-06-22 10:45:00,27991.0,api
2026-06-22 11:00:00,28046.0,api
2026-06-23 11:00:00,27842.0,api
2026-06-23 11:30:00,27786.0,api
2026-06-23 11:45:00,27762.0,api
2026-06-23 12:00:00,27527.0,api
2026-06-23 12:15:00,27774.0,api
2026-06-23 12:30:00,27882.0,api
2026-06-23 12:45:00,27971.0,api
2026-06-23 12:45:00+05:30,27971.0,api
