timestamp,demand_mw,source
2026-06-23 22:30:00,97.0,api
2026-06-23 22:45:00,98.0,api
2026-06-24 10:00:00,86.0,api
2026-06-24 10:30:00,88.0,api
2026-06-24 10:45:00,88.0,api
2026-06-24 11:00:00,86.0,api
2026-06-24 11:15:00,90.0,api
2026-06-24 11:30:00,88.0,api
2026-06-24 11:45:00,84.0,api
2026-06-24 12:00:00,87.0,api
2026-06-24 12:15:00,90.0,api
2026-06-24 12:30:00,90.0,api
2026-06-24 12:45:00,91.0,api
2026-06-24 13:00:00,91.0,api
2026-06-24 13:15:00,91.0,api
2026-06-24 14:15:00,92.0,api
2026-06-24 14:30:00,94.0,api
2026-06-24 14:45:00,95.0,api
2026-06-24 14:45:00+05:30,95.0,api
