timestamp,demand_mw,source
2026-06-23 22:45:00,8767.0,api
2026-06-24 10:00:00,10947.0,api
2026-06-24 10:30:00,11231.0,api
2026-06-24 10:45:00,10997.0,api
2026-06-24 11:00:00,10884.0,api
2026-06-24 11:15:00,11107.0,api
2026-06-24 11:30:00,10957.0,api
2026-06-24 11:45:00,10949.0,api
2026-06-24 12:00:00,10948.0,api
2026-06-24 12:15:00,10829.0,api
2026-06-24 12:30:00,10804.0,api
2026-06-24 12:45:00,10818.0,api
2026-06-24 13:00:00,10715.0,api
2026-06-24 13:15:00,10714.0,api
2026-06-24 14:15:00,10933.0,api
2026-06-24 14:30:00,10988.0,db
