timestamp,demand_mw,source
2026-06-17 15:30:00,657.0,api
2026-06-17 15:45:00,672.0,api
2026-06-17 16:00:00,678.0,api
2026-06-17 16:15:00,678.0,api
2026-06-17 16:30:00,669.0,api
2026-06-17 16:45:00,652.0,api
2026-06-17 17:00:00,659.0,api
2026-06-17 21:00:00,700.0,api
2026-06-17 21:15:00,697.0,api
2026-06-17 21:30:00,698.0,api
2026-06-17 21:45:00,700.0,api
2026-06-17 22:00:00,700.0,api
2026-06-17 22:15:00,703.0,api
2026-06-17 22:30:00,703.0,api
2026-06-17 22:45:00,703.0,api
2026-06-17 23:00:00,689.0,api
2026-06-17 23:15:00,686.0,api
2026-06-17 23:30:00,684.0,api
2026-06-18 00:00:00,660.0,api
2026-06-18 00:15:00,656.0,api
2026-06-18 00:30:00,660.0,api
2026-06-18 00:45:00,642.0,api
2026-06-18 01:00:00,647.0,api
2026-06-18 01:15:00,630.0,api
2026-06-18 01:30:00,628.0,api
2026-06-18 10:00:00,650.0,api
2026-06-18 10:15:00,662.0,api
2026-06-18 10:30:00,652.0,api
2026-06-18 10:45:00,662.0,api
2026-06-18 05:15:00+00:00,662.0,api
