timestamp,demand_mw,source
2026-06-23 22:45:00,15819.0,api
2026-06-24 10:00:00,13162.0,api
2026-06-24 10:30:00,12954.0,api
2026-06-24 10:45:00,12878.0,api
2026-06-24 11:00:00,12540.0,api
2026-06-24 11:15:00,12568.0,api
2026-06-24 11:30:00,12597.0,api
2026-06-24 11:45:00,12775.0,api
2026-06-24 12:00:00,12611.0,api
2026-06-24 12:15:00,12409.0,api
2026-06-24 12:30:00,12349.0,api
2026-06-24 12:45:00,12202.0,api
2026-06-24 13:00:00,12004.0,api
2026-06-24 13:15:00,12200.0,api
2026-06-24 14:15:00,12782.0,api
2026-06-24 14:30:00,12833.0,db
