timestamp,demand_mw,source
2026-06-23 23:00:00,19104.0,api
2026-06-24 10:00:00,17247.0,api
2026-06-24 10:30:00,17335.0,api
2026-06-24 10:45:00,17605.0,api
2026-06-24 11:00:00,17643.0,api
2026-06-24 11:15:00,17567.0,api
2026-06-24 11:30:00,17535.0,api
2026-06-24 11:45:00,17331.0,api
2026-06-24 12:00:00,17116.0,api
2026-06-24 12:15:00,17164.0,api
2026-06-24 12:30:00,17117.0,api
2026-06-24 12:45:00,17182.0,api
2026-06-24 13:00:00,16742.0,api
2026-06-24 13:15:00,16999.0,api
2026-06-24 14:15:00,17512.0,api
2026-06-24 14:30:00,17798.0,db
